Frequency,S11,S21,S12,S22
2.5,(-0.059419958575371704-0.1370009056352506j),(0.9080445462112992-0.3912475614888646j),(0.908044338166016-0.3912476071408815j),(-0.05878670421457489-0.1372736977208077j)
2.51,(-0.05985968001137297-0.1374150275965819j),(0.9073392931823789-0.3926685045216133j),(0.9073390885069882-0.39266854943844587j),(-0.05922730070755937-0.137688643605943j)
2.52,(-0.060300654068938864-0.13782767362320583j),(0.9066316942624516-0.39408785982147937j),(0.9066314913537524-0.39408790519806725j),(-0.059669153736666064-0.13810210890474486j)
2.53,(-0.0607428749912811-0.13823883850456806j),(0.9059217509380424-0.39550562614433116j),(0.9059215520910984-0.3955056692243182j),(-0.06011225849623582-0.13851409124290892j)
2.54,(-0.06118634305188138-0.13864851765913777j),(0.9052094718121713-0.3969217959461746j),(0.9052092749553149-0.3969218414829238j),(-0.060556608979636564-0.13892458550997525j)
2.55,(-0.061631045632677815-0.1390567100057045j),(0.904494860209879-0.39833636881174955j),(0.9044946665053736-0.3983364116725239j),(-0.061002197129566185-0.13933358859789166j)
2.56,(-0.062076981779182756-0.13946340824308942j),(0.9037779210998091-0.3997493356347946j),(0.9037777300746389-0.39974937938966615j),(-0.061449022968244935-0.13974109606228471j)
2.57,(-0.06252414488202322-0.13986861195366337j),(0.9030586603441872-0.4011606952557478j),(0.9030584710811229-0.4011607395074543j),(-0.06189707557652626-0.14014710498729668j)
2.58,(-0.06297252870670723-0.14027231510047714j),(0.9023370817569535-0.40257044373953904j),(0.902336894956552-0.4025704869189792j),(-0.06234635498771845-0.1405516109311803j)
2.59,(-0.06342212863653977-0.1406745153161589j),(0.9016131914811912-0.4039785744218867j),(0.9016130080588752-0.40397861694624854j),(-0.06279685022823515-0.14095461104712056j)
2.6,(-0.06387293676474375-0.14107520953882607j),(0.9008869942683276-0.4053850838083039j),(0.9008868135180749-0.40538512726115045j),(-0.06324855846692833-0.14135610108701918j)
2.61,(-0.06432495296365437-0.14147439229833664j),(0.9001584957847478-0.40678996883112484j),(0.900158317501847-0.40679001123825004j),(-0.06370147441886688-0.14175607789975153j)
2.62,(-0.06477816683274426-0.14187206168941527j),(0.899427700589055-0.4081932240471838j),(0.8994275240638481-0.4081932669866892j),(-0.06415558989899366-0.14215453855912538j)
2.63,(-0.06523257535076192-0.14226821247252067j),(0.8986946141658197-0.40959484444232763j),(0.8986944393961658-0.4095948879199641j),(-0.06461090455782208-0.14255147771787427j)
2.64,(-0.06568817136642595-0.14266284350407876j),(0.8979592405782828-0.410994828157027j),(0.8979590682793491-0.4109948706113042j),(-0.06506740769977568-0.14294689361425475j)
2.65,(-0.06614494893602335-0.14305594980768255j),(0.8972215853229251-0.41239317020974825j),(0.8972214164060418-0.4123932120666092j),(-0.06552509856779594-0.14334077999519546j)
2.66,(-0.066602905441866-0.1434475270793706j),(0.8964816546316282-0.41378986407447876j),(0.896481488190202-0.4137899049260623j),(-0.06598396682917551-0.14373313607848076j)
2.67,(-0.06706203326435874-0.14383757333961475j),(0.8957394534925175-0.41518490836121263j),(0.8957392888045814-0.41518494977919984j),(-0.06644400963535711-0.1441239576837972j)
2.68,(-0.0675223289348419-0.144226082488203j),(0.894994985618929-0.4165782973055469j),(0.8949948235888694-0.41657833971764757j),(-0.06690522121537719-0.14451324087581238j)
2.69,(-0.06798378312183961-0.14461305559329032j),(0.8942482576368099-0.41797002840622144j),(0.8942480980846113-0.41797006983686463j),(-0.06736759367769565-0.1449009838212918j)
2.7,(-0.06844639190099452-0.14499848569236162j),(0.8934992741860907-0.4193600963545376j),(0.8934991163824375-0.4193601383715007j),(-0.06783112585767076-0.1452871793723565j)
2.71,(-0.0689101505254567-0.14538237063168044j),(0.892748040092508-0.42074849784076856j),(0.8927478856740542-0.4207485393179432j),(-0.06829580815383858-0.14567182872833534j)
2.72,(-0.06937505338660274-0.14576470646460243j),(0.891994561825572-0.4221352284412011j),(0.8919944089857386-0.42213526853427796j),(-0.06876163643322047-0.1460549250408283j)
2.73,(-0.06984109274256119-0.14614549138415925j),(0.891238842416-0.4235202840261182j),(0.891238692965108-0.4235203235989632j),(-0.06922860614629303-0.1464364671826365j)
2.74,(-0.07030826593173817-0.14652472117752743j),(0.8904808892546762-0.4249036606377611j),(0.8904807415497578-0.4249037008251323j),(-0.06969671060382944-0.14681644952112433j)
2.75,(-0.07077656431524082-0.14690239228386243j),(0.8897207070341117-0.42628535305401766j),(0.8897205610728407-0.4262853938616073j),(-0.07016594267465859-0.14719487218690783j)
2.76,(-0.07124598522058509-0.14727850050984867j),(0.8889583007715578-0.42766536003753425j),(0.8889581563968713-0.427665399485976j),(-0.07063629863017211-0.1475717292812325j)
2.77,(-0.07171652083975984-0.14765304414864866j),(0.8881936742710195-0.4290436759612075j),(0.888193532538836-0.42904371647609074j),(-0.07110777260067604-0.1479470170374214j)
2.78,(-0.07218816849806785-0.14802601902235898j),(0.8874268349534932-0.43042029695247136j),(0.8874266957115289-0.4304203365570926j),(-0.07158036000776377-0.14832073441039695j)
2.79,(-0.07266091991942011-0.14839742257428049j),(0.8866577867959763-0.43179521940471893j),(0.886657649293025-0.43179525965493926j),(-0.07205405150220537-0.14869287712456378j)
2.8,(-0.07313476678857223-0.14876725229947402j),(0.8858865355776631-0.4331684405992491j),(0.8858864005673492-0.43316847995456875j),(-0.07252884463822838-0.149063442027981j)
2.81,(-0.07360970944537276-0.14913550368423412j),(0.885113086799116-0.43453995386717026j),(0.8851129535254021-0.43453999388075915j),(-0.07300473350905551-0.1494324254270131j)
2.82,(-0.07408573911937186-0.14950217335282043j),(0.8843374445999699-0.4359097576322989j),(0.8843373138212363-0.43590979676635j),(-0.0734817126359171-0.14979982454570215j)
2.83,(-0.07456284833209578-0.14986726067032546j),(0.8835596155354751-0.43727784768750966j),(0.8835594872540585-0.4372778859503841j),(-0.07395977347074041-0.1501656370189207j)
2.84,(-0.07504103610358491-0.15023075843554828j),(0.8827796043790185-0.4386442189619716j),(0.8827794778316554-0.43864425790277467j),(-0.07443891049826754-0.15052986013210284j)
2.85,(-0.07552029231748483-0.15059266735626156j),(0.8819974161725226-0.440008870371295j),(0.8819972904619141-0.4400089095492551j),(-0.07491912346407693-0.15089248857274315j)
