,s 11,s 12,s 21,s 22
0.8864,(0.01761816069+0.0124066351j),(1.001909614+0.003392204642j),(1.001620531+0.003339856863j),(0.0006083042244-0.0002634613775j)
0.8896,(0.01125020068+0.003299411386j),(1.000910521+0.003403842449j),(1.002334833+0.002555161715j),(0.006910653785+0.006551766768j)
0.8928,(0.006984684616+0.008955646306j),(1.001934528+0.002482622862j),(1.002756119+0.002269476652j),(0.01106755249+0.002214509528j)
0.896,(0.007652934641+0.0135169914j),(1.000672102+0.00258474052j),(1.001867175+0.002631530166j),(0.008572413586-0.00274666585j)
0.8992,(0.009552419186+0.003184135305j),(1.001576304+0.002811342478j),(1.002012372+0.002912059426j),(0.00861633569+0.007732228376j)
0.9024,(0.006821220275+0.0003798466641j),(1.002434492+0.002494573593j),(1.001784682+0.00215524435j),(0.009482827038+0.01028623804j)
0.9056,(0.00461823307+0.01359424554j),(1.002010584+0.003189444542j),(1.001715183+0.001863092184j),(0.01285115164-0.001960054506j)
0.9088,(0.003285983112+0.01757358201j),(1.002197266+0.002822160721j),(1.002325535+0.002991586924j),(0.01493529696-0.006698346231j)
0.912,(-0.00193265453+0.003255078802j),(1.001488924+0.002623140812j),(1.000959396+0.004364818335j),(0.01968480274+0.008448707871j)
0.9152,(0.009406369179+0.008929204196j),(1.001478434+0.002877682447j),(1.001608133+0.002982586622j),(0.008429692127+0.001539941411j)
0.9184,(2.947379835e-05+0.004982846789j),(1.002300262+0.003451198339j),(1.001878858+0.003726482391j),(0.01697955094+0.006144747604j)
0.9216,(0.001661251532+0.005713249557j),(1.001548409+0.002254098654j),(1.001181602+0.003398820758j),(0.01698169298+0.004321502522j)
0.9248,(0.01194369607+0.01189912483j),(1.001925111+0.002644538879j),(1.00176096+0.002034336329j),(0.00668543065-0.002145319944j)
0.928,(0.001137619838+0.01752624661j),(1.002139211+0.003254771233j),(1.001567125+0.002219349146j),(0.0166378282-0.00769452611j)
0.9312,(0.0001844405197+0.01807647198j),(1.002514124+0.002960830927j),(1.002311945+0.00241240859j),(0.01893176138-0.00818988122j)
