,s 11,s 12,s 21,s 22
0.9504,(-0.05354658514+0.1332925558j),(0.9912028909+0.1419558674j),(0.991417408+0.140226692j),(0.05359509587+0.1302850395j)
0.9536,(-0.05073407292+0.1319282204j),(0.9913576841+0.1417311728j),(0.9916865826+0.1406736076j),(0.05086809024+0.1319622546j)
0.9568,(-0.04707755893+0.1296724975j),(0.9911720753+0.1424658746j),(0.9921005964+0.1415012926j),(0.04886473715+0.1351850033j)
0.96,(-0.04554901645+0.1356389523j),(0.990743041+0.1427800059j),(0.991446197+0.142124936j),(0.04627068713+0.1314338148j)
0.9632,(-0.04965050146+0.135229677j),(0.9912256002+0.1433270872j),(0.9918487072+0.1424715519j),(0.04892174155+0.1304546893j)
0.9664,(-0.04612537101+0.1358715594j),(0.990724802+0.1433535218j),(0.9917873144+0.1422037184j),(0.04686063528+0.1315874755j)
0.9696,(-0.05237176269+0.1356061846j),(0.9900684357+0.1449389458j),(0.9911814332+0.1441243589j),(0.05152395368+0.1320560277j)
0.9728,(-0.04988817498+0.1381096691j),(0.9900533557+0.1450215876j),(0.9910578728+0.1443012357j),(0.04940574989+0.1286446601j)
0.976,(-0.0517453514+0.1345617771j),(0.9911452532+0.1445044577j),(0.9904845953+0.1437937915j),(0.05168449506+0.1343944967j)
0.9792,(-0.04769551009+0.1338688731j),(0.9905095696+0.1456082761j),(0.9911359549+0.1444423199j),(0.04719652981+0.1359165907j)
0.9824,(-0.05275149643+0.1356130391j),(0.9901868105+0.1466605067j),(0.9903519154+0.1453043222j),(0.05245802552+0.1357505322j)
0.9856,(-0.04916796088+0.1368271559j),(0.9909561872+0.1460428089j),(0.9908502698+0.1455132663j),(0.04753834754+0.1336420178j)
0.9888,(-0.04971835762+0.1377093643j),(0.9914718866+0.1468900144j),(0.9913762808+0.146122694j),(0.04924998432+0.1326342225j)
0.992,(-0.05139154568+0.1396647096j),(0.990858078+0.148196131j),(0.9904606938+0.1469870806j),(0.04977355525+0.1319452375j)
0.9952,(-0.05512579903+0.1352297813j),(0.9899402261+0.1482056826j),(0.9900296926+0.1474651396j),(0.05288576707+0.1369728744j)
0.9984,(-0.051439289+0.1415508687j),(0.9908496141+0.148589313j),(0.9908170104+0.1475720704j),(0.05058506876+0.1318003535j)
1.0016,(-0.05261839181+0.1434042156j),(0.9904212952+0.1494290233j),(0.9914060831+0.1483674198j),(0.05069435388+0.1307516545j)
1.0048,(-0.05337309465+0.1459477693j),(0.9905038476+0.1494268179j),(0.9912299514+0.1488488317j),(0.05091275275+0.1291867942j)
1.008,(-0.05911132693+0.1350702494j),(0.9899348617+0.1495378613j),(0.9901050329+0.1486923695j),(0.0554802902+0.1384164989j)
1.0112,(-0.061611332+0.1468528956j),(0.9895226955+0.1515040547j),(0.9899536967+0.150387466j),(0.0590211004+0.1304309517j)
