,s 11,s 12,s 21,s 22
0.8032,(-0.02227120847+0.08895971626j),(0.9959970713+0.09743149579j),(0.9951226711+0.09694694728j),(0.03274827823+0.09704852849j)
0.8064,(-0.01702440344+0.1004872769j),(0.9965195656+0.09755271673j),(0.9961358905+0.09578719735j),(0.02706296369+0.08375282586j)
0.8096,(-0.02881576866+0.09555414319j),(0.9965146184+0.0986199975j),(0.9963827133+0.09811371565j),(0.04169435427+0.09015054256j)
0.8128,(-0.02985401824+0.1034089774j),(0.9970560074+0.09920620918j),(0.9964119792+0.09831997752j),(0.04387873039+0.08485884964j)
0.816,(-0.02910749801+0.1031759456j),(0.9966547489+0.09991338849j),(0.9968415499+0.09836325794j),(0.04240334034+0.08401727676j)
0.8192,(-0.0214969907+0.09748712927j),(0.9958133698+0.0984570682j),(0.9958766699+0.09891366959j),(0.03159284592+0.08851120621j)
0.8224,(-0.02316730842+0.1059580594j),(0.9971692562+0.09956777096j),(0.9967708588+0.09963160753j),(0.03517381102+0.07958874851j)
0.8256,(-0.02278600633+0.09619101137j),(0.996301055+0.09984427691j),(0.9964985847+0.1005588174j),(0.03455283865+0.09112934768j)
0.8288,(-0.02672126144+0.1027715877j),(0.996579349+0.1014069468j),(0.9960409403+0.1003191024j),(0.03620236367+0.0846048072j)
0.832,(-0.02308353223+0.09839947522j),(0.9952312708+0.1005233228j),(0.9956595302+0.100852862j),(0.03391252458+0.0909832865j)
0.8352,(-0.03038699925+0.09706266969j),(0.9955434203+0.1015057564j),(0.9948657751+0.1001660526j),(0.0409594886+0.09439103305j)
0.8384,(-0.02311429754+0.09882324934j),(0.9964011908+0.1009576917j),(0.9959008694+0.1015669703j),(0.03411528096+0.0914683044j)
0.8416,(-0.02923213318+0.1117217392j),(0.9966899157+0.1024273634j),(0.9959601164+0.1030119359j),(0.04000487924+0.08037544787j)
0.8448,(-0.02079726197+0.09082046896j),(0.9946165085+0.1024378985j),(0.9963089228+0.1018410176j),(0.03169064224+0.09982677549j)
0.848,(-0.04721837863+0.1007814184j),(0.9946396351+0.1041710377j),(0.9939755797+0.1038205028j),(0.05799613148+0.0929370895j)
0.8512,(-0.03398014605+0.1143343598j),(0.9967893958+0.1036561728j),(0.9962440133+0.1046092808j),(0.04591356218+0.07820931077j)
0.8544,(-0.03618898988+0.1015327871j),(0.9946708083+0.1037516594j),(0.9943454266+0.1037633717j),(0.04659729823+0.0937037468j)
0.8576,(-0.02351396158+0.1031113565j),(0.9953401089+0.1051716506j),(0.994476676+0.1038984656j),(0.03516142815+0.09151478112j)
0.8608,(-0.02519033849+0.1002307013j),(0.9990537763+0.1103119254j),(0.9956333041+0.1048028171j),(0.03604109958+0.09663569927j)
0.864,(-0.01554962248+0.1047902927j),(0.9941189885+0.1054766476j),(0.9945265055+0.107224077j),(0.02564487979+0.08861842752j)
0.8672,(-0.03516008705+0.09540028125j),(0.9979928732+0.1035198569j),(0.9942036867+0.1035031378j),(0.04449057952+0.1004206538j)
0.8704,(-0.03331864253+0.1015518457j),(0.9957358837+0.1033989787j),(0.9963488579+0.1053026021j),(0.04246488586+0.09673249722j)
0.8736,(-0.03388439864+0.1033664718j),(0.995467186+0.1051899344j),(0.9978187084+0.108192198j),(0.0449831672+0.09537426382j)
0.8768,(-0.02266169898+0.1086078733j),(0.9970591068+0.1070937812j),(0.9957079887+0.1061630547j),(0.03351730108+0.0885913074j)
0.88,(-0.01231763139+0.105714947j),(0.9957698584+0.1054160893j),(0.9960890412+0.104958266j),(0.02320431545+0.09184139967j)
0.8832,(-0.04042532295+0.1119250134j),(0.9963903427+0.1094068438j),(0.9923390746+0.1080520451j),(0.05119336769+0.08794228733j)
0.8864,(-0.01712022349+0.1053026691j),(0.9950116873+0.1068950146j),(0.9954502583+0.1066260189j),(0.02805432118+0.09335595369j)
0.8896,(-0.02327292413+0.09577909112j),(0.9938386679+0.1069489717j),(0.9955699444+0.1057254672j),(0.03360766917+0.1011765301j)
0.8928,(-0.02808244154+0.1017467752j),(0.9943981767+0.1073417962j),(0.9956697822+0.1069348752j),(0.03851789236+0.09792345017j)
0.896,(-0.02813218907+0.1061781868j),(0.993765831+0.1072248444j),(0.9949868917+0.1076248288j),(0.0369364582+0.09281121939j)
0.8992,(-0.02592779696+0.09633854032j),(0.9940785766+0.1080500484j),(0.9946353436+0.1077944934j),(0.0353975594+0.1033632681j)
0.9024,(-0.0287849158+0.09360146523j),(0.9942142963+0.1077581346j),(0.9940609932+0.1069249213j),(0.03600028157+0.1064888686j)
0.9056,(-0.0320889838+0.1067702994j),(0.9943730235+0.1092739403j),(0.9948346019+0.1079892814j),(0.0415927358+0.09505990148j)
0.9088,(-0.03396552056+0.1110829338j),(0.9949426651+0.1101854295j),(0.9949893951+0.1097058803j),(0.04463391006+0.09099098295j)
0.912,(-0.03873150796+0.09663206339j),(0.9932484031+0.1096675992j),(0.9926572442+0.1110391915j),(0.04700893164+0.1069535613j)
0.9152,(-0.02806408517+0.1032487825j),(0.9941620827+0.1097664237j),(0.9939320683+0.1097406447j),(0.03709502891+0.09846474975j)
0.9184,(-0.03768031672+0.09903154522j),(0.9939004779+0.1113307774j),(0.9938006401+0.1110916138j),(0.04470175877+0.1049803644j)
0.9216,(-0.03609027714+0.1001526341j),(0.9936868548+0.110376671j),(0.9930011034+0.1113172621j),(0.04537992924+0.1032873839j)
0.9248,(-0.02621189877+0.1071616262j),(0.9943635464+0.1111899167j),(0.9945863485+0.1099716723j),(0.03649583086+0.09544150531j)
0.928,(-0.03776774183+0.1124569774j),(0.9940752983+0.1126806438j),(0.9940875173+0.1111877263j),(0.04723255709+0.0919893831j)
0.9312,(-0.03901229054+0.1132491305j),(0.9944485426+0.1132696271j),(0.9950977564+0.1120551825j),(0.04991212487+0.09246427566j)
0.9344,(-0.04004590958+0.1101742536j),(0.9940082431+0.1132241786j),(0.9942011833+0.1126745939j),(0.04805929214+0.09422314167j)
0.9376,(-0.04173089191+0.104382135j),(0.9937542081+0.1134286076j),(0.9942183495+0.113019377j),(0.05125910044+0.1021457389j)
0.9408,(-0.04303276539+0.1030110046j),(0.9930197001+0.1137651727j),(0.9936899543+0.1125424653j),(0.05153142661+0.1039677858j)
