,s 11,s 12,s 21,s 22
0.944,(-0.04172660783+0.1248554066j),(0.9916540384+0.1267298758j),(0.9913098216+0.1260919273j),(0.04771258682+0.1084648967j)
0.9472,(-0.04580083489+0.1179337278j),(0.9904934168+0.1263929904j),(0.9905766249+0.1255602837j),(0.05121653527+0.1147276908j)
0.9504,(-0.04676847905+0.1199681088j),(0.9910700917+0.1267225593j),(0.9912159443+0.1251045018j),(0.05228978768+0.1134592444j)
0.9536,(-0.04399174079+0.1187140644j),(0.9912970066+0.1265581846j),(0.991253376+0.1256740689j),(0.04942989722+0.1152092963j)
0.9568,(-0.04022303596+0.1165059656j),(0.9913182855+0.1273431033j),(0.991989255+0.1258814484j),(0.04729213193+0.1183156595j)
0.96,(-0.0386951305+0.1223667711j),(0.9909653068+0.1274782866j),(0.9915973544+0.1266507506j),(0.04463148117+0.1145218164j)
0.9632,(-0.04272090271+0.1218806729j),(0.9912873507+0.1279397905j),(0.9917151332+0.1270650327j),(0.04734648392+0.1134783626j)
0.9664,(-0.03928873688+0.1225000098j),(0.9910851121+0.1281136125j),(0.9917052388+0.1270266622j),(0.04515945539+0.1146612987j)
0.9696,(-0.04522461444+0.1223878339j),(0.9903883338+0.1294143498j),(0.9914214611+0.1287194192j),(0.04999535158+0.1148501635j)
0.9728,(-0.04268119484+0.1246607006j),(0.9902415276+0.1294528842j),(0.9909219742+0.1290467381j),(0.04771704972+0.1114165336j)
0.976,(-0.04465396702+0.1211976707j),(0.9913679361+0.1291900575j),(0.9904314876+0.1282267869j),(0.05017086864+0.11718674j)
0.9792,(-0.04047977924+0.1204147711j),(0.9906510115+0.1299316585j),(0.9913810492+0.1290373802j),(0.04566372186+0.1186989099j)
0.9824,(-0.04571299627+0.122069709j),(0.9903270602+0.1310098022j),(0.9906733632+0.1297591329j),(0.05094350502+0.1184916496j)
0.9856,(-0.04196335003+0.1232476085j),(0.9910281897+0.1305092424j),(0.9906644821+0.1299937218j),(0.045776885+0.1163796708j)
0.9888,(-0.04239601642+0.1242078617j),(0.9915143251+0.1310490668j),(0.9918941855+0.1304143369j),(0.04760492966+0.1153956279j)
0.992,(-0.04406806082+0.1260001659j),(0.9911253452+0.1325351j),(0.9907395244+0.1315521002j),(0.04799484089+0.1146074906j)
0.9952,(-0.04772216454+0.1217393354j),(0.9903091192+0.1325834692j),(0.9904108644+0.1316821873j),(0.05131420121+0.119443588j)
0.9984,(-0.04392898828+0.1277937591j),(0.9909528494+0.1329022646j),(0.9907833338+0.1318519413j),(0.04878471047+0.1141825989j)
1.0016,(-0.04523828626+0.1297642738j),(0.9905558825+0.1336153746j),(0.9914607406+0.1321791559j),(0.04896040633+0.1129657105j)
1.0048,(-0.04580169544+0.1320527494j),(0.9910079241+0.1335506439j),(0.9915413857+0.1328223944j),(0.04924762622+0.1115411669j)
1.008,(-0.05169143155+0.1214618981j),(0.990480423+0.1335144937j),(0.9903002977+0.1327026784j),(0.0537696071+0.1205799729j)
1.0112,(-0.05396134779+0.1331748962j),(0.9898697138+0.1354369521j),(0.9901440144+0.1340240985j),(0.05712354183+0.1124184281j)
1.0144,(-0.04954239354+0.1242419183j),(0.9899253845+0.1356192529j),(0.9904128313+0.1339927018j),(0.05344244465+0.1208456457j)
1.0176,(-0.05082141608+0.1224073917j),(0.9900746346+0.134913981j),(0.9907335043+0.133754909j),(0.05369726568+0.121671848j)
1.0208,(-0.05758108199+0.1266030073j),(0.9891966581+0.1360230744j),(0.9890655279+0.1350602508j),(0.05948380381+0.1195863634j)
1.024,(-0.04875677824+0.1307817549j),(0.9911798239+0.135463357j),(0.9905188084+0.1350176036j),(0.05147502944+0.1154807582j)
1.0272,(-0.04414967075+0.1242723763j),(0.9903813601+0.136169225j),(0.9906687737+0.1358107328j),(0.04764996842+0.1202623919j)
1.0304,(-0.04678811505+0.1289013624j),(0.9908567667+0.1366792917j),(0.9904419184+0.1365517378j),(0.05016173422+0.1170274764j)
1.0336,(-0.04356681556+0.1273180693j),(0.9904370308+0.1369579285j),(0.9901563525+0.1357653886j),(0.04755942151+0.1200223342j)
1.0368,(-0.04746907949+0.1276268959j),(0.9900309443+0.1376639754j),(0.9897708893+0.1365736276j),(0.05009066314+0.11957784j)
1.04,(-0.04805872217+0.1302634627j),(0.9907969236+0.1377311051j),(0.9906311631+0.1368153989j),(0.05119359121+0.116911456j)
1.0432,(-0.05506524071+0.1267384887j),(0.9895110726+0.1390042305j),(0.9894914627+0.1386453807j),(0.05759208649+0.1238958016j)
1.0464,(-0.04424901307+0.1223482117j),(0.9896320701+0.1385586113j),(0.9898262024+0.1365715712j),(0.04489145428+0.1249167249j)
1.0496,(-0.05028215796+0.1297394633j),(0.9903357625+0.13917844j),(0.9897730947+0.1381526887j),(0.05364695564+0.1194608361j)
1.0528,(-0.05274035037+0.1313828826j),(0.9901856184+0.1395604014j),(0.9906694293+0.1387432814j),(0.05593530089+0.1178089231j)
1.056,(-0.05117396638+0.1249757558j),(0.9884783626+0.1401068419j),(0.9890819788+0.1393161267j),(0.05257458985+0.1254909933j)
1.0592,(-0.03622944281+0.1234282255j),(0.9896100163+0.1396054924j),(0.9901966453+0.1383154988j),(0.03790621459+0.126400128j)
1.0624,(-0.04619961232+0.1312926561j),(0.9897527099+0.1405705214j),(0.9899893999+0.1392578781j),(0.04804308712+0.1197027639j)
1.0656,(-0.04878498986+0.129729256j),(0.9896044731+0.1404998899j),(0.9909724593+0.1391163915j),(0.05131234601+0.12124376j)
1.0688,(-0.05261719972+0.1387353987j),(0.988704443+0.141926676j),(0.9894382358+0.1404856741j),(0.05518897995+0.1152687222j)
1.072,(-0.04542518407+0.1434178501j),(0.9887186885+0.1427601576j),(0.9896469116+0.1401323676j),(0.04767010733+0.1089498699j)
1.0752,(-0.06383683532+0.1202666163j),(0.9877179265+0.1417294592j),(0.9889870882+0.1405968368j),(0.06430286169+0.1340551674j)
1.0784,(-0.07008296251+0.1248220652j),(0.986952424+0.1437450647j),(0.988181591+0.1414554119j),(0.0706749931+0.1319621354j)
1.0816,(-0.06369300187+0.1383313984j),(0.9876887798+0.1450811327j),(0.9893174171+0.1431849003j),(0.06694808602+0.118532896j)
1.0848,(-0.05589493737+0.1341794431j),(0.9879930615+0.1436607838j),(0.9895749092+0.1416714489j),(0.05709189922+0.1207253337j)
1.088,(-0.07610365748+0.1342311352j),(0.9870895743+0.1454366148j),(0.9884967804+0.1433847547j),(0.07873475552+0.1241299659j)
