Frequency,S11,S21
2.024,(-36.3310117103136-103.032477428021j),(-36.3310117103136-103.032477428021j)
2.0257,(-36.6330696849185-105.570182670842j),(-36.6330696849185-105.570182670842j)
2.0274,(-36.955521114472-108.354271389568j),(-36.955521114472-108.354271389568j)
2.0291,(-37.2788213481763-111.259971697075j),(-37.2788213481763-111.259971697075j)
2.0308,(-37.5729763183489-114.119007589538j),(-37.5729763183489-114.119007589538j)
2.0325,(-37.8170875627119-116.746233761649j),(-37.8170875627119-116.746233761649j)
2.0342,(-38.0091876471611-119.253201052159j),(-38.0091876471611-119.253201052159j)
2.0359,(-38.1858198893908-121.604742143794j),(-38.1858198893908-121.604742143794j)
2.0376,(-38.3153433961071-123.701611152242j),(-38.3153433961071-123.701611152242j)
2.0393,(-38.4234646133766-125.614204722784j),(-38.4234646133766-125.614204722784j)
2.041,(-38.4952383240561-127.219014179468j),(-38.4952383240561-127.219014179468j)
2.0427,(-38.5422522122184-128.630397028279j),(-38.5422522122184-128.630397028279j)
2.0444,(-38.5671677089828-129.636370402908j),(-38.5671677089828-129.636370402908j)
2.0461,(-38.5611564061959-130.246555624006j),(-38.5611564061959-130.246555624006j)
2.0478,(-38.5280405483661-130.412832196172j),(-38.5280405483661-130.412832196172j)
2.0495,(-38.4625445371981-130.164570380534j),(-38.4625445371981-130.164570380534j)
2.0512,(-38.3686778001442-129.224159037117j),(-38.3686778001442-129.224159037117j)
2.0529,(-38.240161229331-127.459144197232j),(-38.240161229331-127.459144197232j)
2.0546,(-38.0958973717678-125.062870007911j),(-38.0958973717678-125.062870007911j)
2.0563,(-37.932771199948-122.284489604749j),(-37.932771199948-122.284489604749j)
2.058,(-37.7788460689679-119.612939635277j),(-37.7788460689679-119.612939635277j)
2.0597,(-37.6392014120644-117.009931427831j),(-37.6392014120644-117.009931427831j)
2.0614,(-37.5051595335671-114.563750320582j),(-37.5051595335671-114.563750320582j)
2.0631,(-37.3907147008969-112.239238151064j),(-37.3907147008969-112.239238151064j)
2.0648,(-37.2586136560791-110.060730442381j),(-37.2586136560791-110.060730442381j)
2.0665,(-37.1304702725448-108.047884352423j),(-37.1304702725448-108.047884352423j)
2.0682,(-37.0036774854821-106.218948073362j),(-37.0036774854821-106.218948073362j)
