Frequency,S11,S21
1.46624,(-0.001407864504-0.2861075401j),(-0.001407864504-0.2861075401j)
1.46688,(-0.001557670999-0.2864386439j),(-0.001557670999-0.2864386439j)
1.46752,(-0.001461790875-0.2865397632j),(-0.001461790875-0.2865397632j)
1.46816,(-0.001448048279-0.2864958942j),(-0.001448048279-0.2864958942j)
1.4688,(-0.001604405232-0.2866872847j),(-0.001604405232-0.2866872847j)
1.46944,(-0.0011789212-0.2868679464j),(-0.0011789212-0.2868679464j)
1.47008,(-0.001410542987-0.2872677147j),(-0.001410542987-0.2872677147j)
1.47072,(-0.001233446412-0.2867263854j),(-0.001233446412-0.2867263854j)
1.47136,(-0.001287757419-0.2870890796j),(-0.001287757419-0.2870890796j)
1.472,(-0.001292547211-0.2872424424j),(-0.001292547211-0.2872424424j)
1.47264,(-0.001343341544-0.287365675j),(-0.001343341544-0.287365675j)
1.47328,(-0.001140354201-0.2874755263j),(-0.001140354201-0.2874755263j)
1.47392,(-0.001202445477-0.2875400782j),(-0.001202445477-0.2875400782j)
1.47456,(-0.00125125004-0.2877129316j),(-0.00125125004-0.2877129316j)
1.4752,(-0.001312886365-0.2878305018j),(-0.001312886365-0.2878305018j)
1.47584,(-0.001362100476-0.2877314985j),(-0.001362100476-0.2877314985j)
1.47648,(-0.001158787753-0.2879742086j),(-0.001158787753-0.2879742086j)
1.47712,(-0.001158841187-0.2880810499j),(-0.001158841187-0.2880810499j)
1.47776,(-0.001325867255-0.2881101966j),(-0.001325867255-0.2881101966j)
1.4784,(-0.001219351776-0.2883222997j),(-0.001219351776-0.2883222997j)
1.47904,(-0.001220830134-0.2881400585j),(-0.001220830134-0.2881400585j)
1.47968,(-0.001205344568-0.2881298959j),(-0.001205344568-0.2881298959j)
1.48032,(-0.001473858836-0.2881838977j),(-0.001473858836-0.2881838977j)
1.48096,(-0.001452754484-0.288275212j),(-0.001452754484-0.288275212j)
1.4816,(-0.001642636606-0.2883040905j),(-0.001642636606-0.2883040905j)
1.48224,(-0.001367802848-0.2885316312j),(-0.001367802848-0.2885316312j)
1.48288,(-0.001510532922-0.2883577943j),(-0.001510532922-0.2883577943j)
1.48352,(-0.001528281486-0.288593322j),(-0.001528281486-0.288593322j)
1.48416,(-0.001342799049-0.2885701954j),(-0.001342799049-0.2885701954j)
1.4848,(-0.001766963629-0.2887687087j),(-0.001766963629-0.2887687087j)
1.48544,(-0.001756610349-0.2887035906j),(-0.001756610349-0.2887035906j)
1.48608,(-0.001931460341-0.2888042927j),(-0.001931460341-0.2888042927j)
1.48672,(-0.001767286565-0.2887850702j),(-0.001767286565-0.2887850702j)
1.48736,(-0.001773324795-0.2888977528j),(-0.001773324795-0.2888977528j)
1.488,(-0.001852783374-0.2891878486j),(-0.001852783374-0.2891878486j)
1.48864,(-0.001727336203-0.2889055908j),(-0.001727336203-0.2889055908j)
1.48928,(-0.001936785178-0.2891945243j),(-0.001936785178-0.2891945243j)
1.48992,(-0.001818260644-0.2892344296j),(-0.001818260644-0.2892344296j)
1.49056,(-0.00199357653-0.2894107401j),(-0.00199357653-0.2894107401j)
1.4912,(-0.001714729704-0.2893643379j),(-0.001714729704-0.2893643379j)
1.49184,(-0.001804330386-0.2893509269j),(-0.001804330386-0.2893509269j)
1.49248,(-0.001610108651-0.2898053229j),(-0.001610108651-0.2898053229j)
1.49312,(-0.001803972758-0.2894601822j),(-0.001803972758-0.2894601822j)
1.49376,(-0.001917771995-0.2896716595j),(-0.001917771995-0.2896716595j)
1.4944,(-0.001912426203-0.2898303866j),(-0.001912426203-0.2898303866j)
1.49504,(-0.001818756573-0.2898947597j),(-0.001818756573-0.2898947597j)
1.49568,(-0.00183899235-0.290281713j),(-0.00183899235-0.290281713j)
1.49632,(-0.001820364967-0.2902964354j),(-0.001820364967-0.2902964354j)
1.49696,(-0.001608608291-0.2905524075j),(-0.001608608291-0.2905524075j)
1.4976,(-0.001641403884-0.2904339433j),(-0.001641403884-0.2904339433j)
1.49824,(-0.001851081848-0.2906738818j),(-0.001851081848-0.2906738818j)
1.49888,(-0.001499015372-0.2908599377j),(-0.001499015372-0.2908599377j)
1.49952,(-0.001408720156-0.2909628153j),(-0.001408720156-0.2909628153j)
1.50016,(-0.00147067837-0.2911213934j),(-0.00147067837-0.2911213934j)
1.5008,(-0.001553713111-0.2913222313j),(-0.001553713111-0.2913222313j)
1.50144,(-0.001307990286-0.2910091877j),(-0.001307990286-0.2910091877j)
1.50208,(-0.001404266572-0.2917114794j),(-0.001404266572-0.2917114794j)
1.50272,(-0.001287334599-0.2915590405j),(-0.001287334599-0.2915590405j)
1.50336,(-0.001495226286-0.2918483615j),(-0.001495226286-0.2918483615j)
1.504,(-0.001317690127-0.2917633951j),(-0.001317690127-0.2917633951j)
1.50464,(-0.001280713826-0.2920888364j),(-0.001280713826-0.2920888364j)
1.50528,(-0.001358734444-0.2919861972j),(-0.001358734444-0.2919861972j)
1.50592,(-0.001188544091-0.2923083007j),(-0.001188544091-0.2923083007j)
1.50656,(-0.001148504671-0.292221427j),(-0.001148504671-0.292221427j)
1.5072,(-0.001384027768-0.2923199236j),(-0.001384027768-0.2923199236j)
1.50784,(-0.001210211311-0.2924428284j),(-0.001210211311-0.2924428284j)
1.50848,(-0.001169855241-0.292535007j),(-0.001169855241-0.292535007j)
1.50912,(-0.00098593859-0.2927449048j),(-0.00098593859-0.2927449048j)
1.50976,(-0.001163458452-0.2927516997j),(-0.001163458452-0.2927516997j)
1.5104,(-0.001161937602-0.2929910719j),(-0.001161937602-0.2929910719j)
1.51104,(-0.001044302015-0.2928729355j),(-0.001044302015-0.2928729355j)
