Frequency,S11,S21
1.7144,(-0.1877339035-0.2996578813j),(-0.1877339035-0.2996578813j)
1.71458,(-0.1879027188-0.2996308208j),(-0.1879027188-0.2996308208j)
1.71476,(-0.1879377365-0.2996456027j),(-0.1879377365-0.2996456027j)
1.71494,(-0.1879869252-0.2996162772j),(-0.1879869252-0.2996162772j)
1.71512,(-0.1879672706-0.299613595j),(-0.1879672706-0.299613595j)
1.7153,(-0.1879577488-0.2995454073j),(-0.1879577488-0.2995454073j)
1.71548,(-0.188166827-0.2996148765j),(-0.188166827-0.2996148765j)
1.71566,(-0.1881798208-0.2996231616j),(-0.1881798208-0.2996231616j)
1.71584,(-0.1882873029-0.2996731102j),(-0.1882873029-0.2996731102j)
1.71602,(-0.1882176995-0.2997128367j),(-0.1882176995-0.2997128367j)
1.7162,(-0.1882909387-0.2996997535j),(-0.1882909387-0.2996997535j)
1.71638,(-0.1881730556-0.299620837j),(-0.1881730556-0.299620837j)
1.71656,(-0.188263163-0.2996714711j),(-0.188263163-0.2996714711j)
1.71674,(-0.1883658469-0.2997304797j),(-0.1883658469-0.2997304797j)
1.71692,(-0.1884270757-0.299767077j),(-0.1884270757-0.299767077j)
1.7171,(-0.1885095537-0.2997896075j),(-0.1885095537-0.2997896075j)
1.71728,(-0.1885062307-0.299734205j),(-0.1885062307-0.299734205j)
1.71746,(-0.1885067523-0.2997683883j),(-0.1885067523-0.2997683883j)
1.71764,(-0.1886229962-0.2997939885j),(-0.1886229962-0.2997939885j)
1.71782,(-0.1886510402-0.2997668087j),(-0.1886510402-0.2997668087j)
1.718,(-0.1886594743-0.2997301817j),(-0.1886594743-0.2997301817j)
1.71818,(-0.1886000633-0.2997944653j),(-0.1886000633-0.2997944653j)
1.71836,(-0.1886169761-0.2997653186j),(-0.1886169761-0.2997653186j)
1.71854,(-0.1887176037-0.2997906804j),(-0.1887176037-0.2997906804j)
1.71872,(-0.1886378676-0.2998250127j),(-0.1886378676-0.2998250127j)
1.7189,(-0.1887550056-0.2999474406j),(-0.1887550056-0.2999474406j)
1.71908,(-0.1887806803-0.2998950779j),(-0.1887806803-0.2998950779j)
1.71926,(-0.1888155937-0.2999260128j),(-0.1888155937-0.2999260128j)
1.71944,(-0.1888606399-0.2998369038j),(-0.1888606399-0.2998369038j)
1.71962,(-0.1889228672-0.2997644842j),(-0.1889228672-0.2997644842j)
1.7198,(-0.188933447-0.2997385561j),(-0.188933447-0.2997385561j)
1.71998,(-0.1888976991-0.299852401j),(-0.1888976991-0.299852401j)
1.72016,(-0.1888647676-0.2997973263j),(-0.1888647676-0.2997973263j)
1.72034,(-0.1889428347-0.2999116182j),(-0.1889428347-0.2999116182j)
1.72052,(-0.1889911145-0.2998501062j),(-0.1889911145-0.2998501062j)
1.7207,(-0.1890795976-0.2998317182j),(-0.1890795976-0.2998317182j)
1.72088,(-0.1891320497-0.299890697j),(-0.1891320497-0.299890697j)
1.72106,(-0.1892311573-0.2997942865j),(-0.1892311573-0.2997942865j)
1.72124,(-0.1892998517-0.2998708487j),(-0.1892998517-0.2998708487j)
1.72142,(-0.1892527342-0.2998491526j),(-0.1892527342-0.2998491526j)
1.7216,(-0.189383775-0.2997617722j),(-0.189383775-0.2997617722j)
1.72178,(-0.1893946975-0.2997719347j),(-0.1893946975-0.2997719347j)
1.72196,(-0.189351052-0.2998574674j),(-0.189351052-0.2998574674j)
1.72214,(-0.1893736571-0.299954325j),(-0.1893736571-0.299954325j)
1.72232,(-0.1893981099-0.2999901772j),(-0.1893981099-0.2999901772j)
1.7225,(-0.18941769-0.2999916077j),(-0.18941769-0.2999916077j)
1.72268,(-0.1892810315-0.300015837j),(-0.1892810315-0.300015837j)
1.72286,(-0.189318493-0.299969852j),(-0.189318493-0.299969852j)
1.72304,(-0.1893585473-0.3000693619j),(-0.1893585473-0.3000693619j)
1.72322,(-0.1894841194-0.3001493514j),(-0.1894841194-0.3001493514j)
1.7234,(-0.1895104945-0.3001648784j),(-0.1895104945-0.3001648784j)
1.72358,(-0.1896226257-0.3002054095j),(-0.1896226257-0.3002054095j)
1.72376,(-0.1896707267-0.3001195788j),(-0.1896707267-0.3001195788j)
1.72394,(-0.1896912754-0.300152123j),(-0.1896912754-0.300152123j)
1.72412,(-0.1896345764-0.3001508713j),(-0.1896345764-0.3001508713j)
