Frequency,S11,S21
1.7144,(-0.1504131705-0.313511163j),(-0.1504131705-0.313511163j)
1.71458,(-0.1504780054-0.3135144711j),(-0.1504780054-0.3135144711j)
1.71476,(-0.1504771113-0.3135094643j),(-0.1504771113-0.3135094643j)
1.71494,(-0.1505539566-0.3134071231j),(-0.1505539566-0.3134071231j)
1.71512,(-0.1505247355-0.3134816885j),(-0.1505247355-0.3134816885j)
1.7153,(-0.1506133527-0.3134429157j),(-0.1506133527-0.3134429157j)
1.71548,(-0.1506881714-0.3135038614j),(-0.1506881714-0.3135038614j)
1.71566,(-0.1507322788-0.3136291206j),(-0.1507322788-0.3136291206j)
1.71584,(-0.1507867128-0.3135824203j),(-0.1507867128-0.3135824203j)
1.71602,(-0.1508260071-0.313552022j),(-0.1508260071-0.313552022j)
1.7162,(-0.1508189738-0.3135700524j),(-0.1508189738-0.3135700524j)
1.71638,(-0.1508674324-0.3135805726j),(-0.1508674324-0.3135805726j)
1.71656,(-0.1508859694-0.3135869801j),(-0.1508859694-0.3135869801j)
1.71674,(-0.1508443207-0.3136283159j),(-0.1508443207-0.3136283159j)
1.71692,(-0.1509208381-0.3136603534j),(-0.1509208381-0.3136603534j)
1.7171,(-0.150947988-0.3136824369j),(-0.150947988-0.3136824369j)
1.71728,(-0.1509702951-0.3137919903j),(-0.1509702951-0.3137919903j)
1.71746,(-0.1511293799-0.313687712j),(-0.1511293799-0.313687712j)
1.71764,(-0.151121825-0.3137308061j),(-0.151121825-0.3137308061j)
1.71782,(-0.1510623842-0.3137824237j),(-0.1510623842-0.3137824237j)
1.718,(-0.1511006653-0.3137069941j),(-0.1511006653-0.3137069941j)
1.71818,(-0.1511131525-0.3136376739j),(-0.1511131525-0.3136376739j)
1.71836,(-0.1511416882-0.3136407137j),(-0.1511416882-0.3136407137j)
1.71854,(-0.1511846781-0.3138142228j),(-0.1511846781-0.3138142228j)
1.71872,(-0.1511671543-0.3137330413j),(-0.1511671543-0.3137330413j)
1.7189,(-0.1512450576-0.3137694597j),(-0.1512450576-0.3137694597j)
1.71908,(-0.1512386054-0.3138513863j),(-0.1512386054-0.3138513863j)
1.71926,(-0.1513055712-0.3137954473j),(-0.1513055712-0.3137954473j)
1.71944,(-0.1513228416-0.3137254417j),(-0.1513228416-0.3137254417j)
1.71962,(-0.1513356864-0.3136903048j),(-0.1513356864-0.3136903048j)
1.7198,(-0.1513718218-0.3137876093j),(-0.1513718218-0.3137876093j)
1.71998,(-0.1513727605-0.3137385547j),(-0.1513727605-0.3137385547j)
1.72016,(-0.1513034403-0.3137628436j),(-0.1513034403-0.3137628436j)
1.72034,(-0.1513534486-0.3137131631j),(-0.1513534486-0.3137131631j)
1.72052,(-0.1513701081-0.3138572574j),(-0.1513701081-0.3138572574j)
1.7207,(-0.1515185684-0.3138749003j),(-0.1515185684-0.3138749003j)
1.72088,(-0.1515402943-0.3139148355j),(-0.1515402943-0.3139148355j)
1.72106,(-0.1515966952-0.3139437139j),(-0.1515966952-0.3139437139j)
1.72124,(-0.1516443193-0.3138678968j),(-0.1516443193-0.3138678968j)
1.72142,(-0.1516779512-0.3138952255j),(-0.1516779512-0.3138952255j)
1.7216,(-0.151716128-0.3138020337j),(-0.151716128-0.3138020337j)
1.72178,(-0.1517573595-0.313895911j),(-0.1517573595-0.313895911j)
1.72196,(-0.1517662704-0.3139625192j),(-0.1517662704-0.3139625192j)
1.72214,(-0.1517558396-0.3139315844j),(-0.1517558396-0.3139315844j)
1.72232,(-0.1516961455-0.3140732646j),(-0.1516961455-0.3140732646j)
1.7225,(-0.151752159-0.3140153289j),(-0.151752159-0.3140153289j)
1.72268,(-0.1517030448-0.3140587509j),(-0.1517030448-0.3140587509j)
1.72286,(-0.1515500247-0.3140013218j),(-0.1515500247-0.3140013218j)
1.72304,(-0.1516606212-0.3140976131j),(-0.1516606212-0.3140976131j)
1.72322,(-0.1518829316-0.3140617013j),(-0.1518829316-0.3140617013j)
1.7234,(-0.1518242657-0.3142288327j),(-0.1518242657-0.3142288327j)
1.72358,(-0.1519183069-0.3141155541j),(-0.1519183069-0.3141155541j)
1.72376,(-0.1518652141-0.3142713904j),(-0.1518652141-0.3142713904j)
