Frequency,S11,S21
1.5936e-09,(-0.1444669813-0.3121184409j),(-0.1444669813-0.3121184409j)
1.59424e-09,(-0.1447180212-0.3122510314j),(-0.1447180212-0.3122510314j)
1.59488e-09,(-0.1445755213-0.3122769594j),(-0.1445755213-0.3122769594j)
1.59552e-09,(-0.1446573138-0.3122481704j),(-0.1446573138-0.3122481704j)
1.59616e-09,(-0.1447754204-0.3123417497j),(-0.1447754204-0.3123417497j)
1.5968e-09,(-0.1449987292-0.3123270273j),(-0.1449987292-0.3123270273j)
1.59744e-09,(-0.1451346874-0.3121165037j),(-0.1451346874-0.3121165037j)
1.59808e-09,(-0.1451257914-0.3125070035j),(-0.1451257914-0.3125070035j)
1.5987199999999998e-09,(-0.1451669633-0.3125704229j),(-0.1451669633-0.3125704229j)
1.59936e-09,(-0.1453489214-0.3125317097j),(-0.1453489214-0.3125317097j)
1.6e-09,(-0.1453547031-0.3124469221j),(-0.1453547031-0.3124469221j)
1.60064e-09,(-0.1455859393-0.3125501573j),(-0.1455859393-0.3125501573j)
1.60128e-09,(-0.145600453-0.312638849j),(-0.145600453-0.312638849j)
1.60192e-09,(-0.1458160579-0.3126676083j),(-0.1458160579-0.3126676083j)
1.6025599999999999e-09,(-0.1458390504-0.3127251267j),(-0.1458390504-0.3127251267j)
1.6032e-09,(-0.1459124982-0.3127583861j),(-0.1459124982-0.3127583861j)
1.60384e-09,(-0.1460256428-0.3129478693j),(-0.1460256428-0.3129478693j)
1.6044799999999998e-09,(-0.1460764706-0.3129710853j),(-0.1460764706-0.3129710853j)
1.6051200000000001e-09,(-0.146179527-0.313071698j),(-0.146179527-0.313071698j)
1.60576e-09,(-0.146424368-0.3132815957j),(-0.146424368-0.3132815957j)
1.6064e-09,(-0.1467095762-0.3133234382j),(-0.1467095762-0.3133234382j)
1.60704e-09,(-0.1466930807-0.3134455085j),(-0.1466930807-0.3134455085j)
1.60768e-09,(-0.1465764046-0.3132138848j),(-0.1465764046-0.3132138848j)
1.6083199999999999e-09,(-0.1470122635-0.3135808408j),(-0.1470122635-0.3135808408j)
1.60896e-09,(-0.1468189359-0.3135562539j),(-0.1468189359-0.3135562539j)
1.6096e-09,(-0.1471820474-0.3136257231j),(-0.1471820474-0.3136257231j)
1.6102399999999998e-09,(-0.14740628-0.3138572574j),(-0.14740628-0.3138572574j)
1.6108800000000001e-09,(-0.147408694-0.314173907j),(-0.147408694-0.314173907j)
1.61152e-09,(-0.1474071443-0.3140974939j),(-0.1474071443-0.3140974939j)
1.61216e-09,(-0.1476712972-0.3141838908j),(-0.1476712972-0.3141838908j)
1.6128e-09,(-0.1479083747-0.3142511249j),(-0.1479083747-0.3142511249j)
1.61344e-09,(-0.1477607638-0.3145347536j),(-0.1477607638-0.3145347536j)
1.6140799999999999e-09,(-0.1480873227-0.3144257963j),(-0.1480873227-0.3144257963j)
1.61472e-09,(-0.1479569376-0.3145876229j),(-0.1479569376-0.3145876229j)
1.6153599999999999e-09,(-0.1482488364-0.3145714998j),(-0.1482488364-0.3145714998j)
1.616e-09,(-0.1483304203-0.3146676123j),(-0.1483304203-0.3146676123j)
1.6166400000000001e-09,(-0.1483105421-0.3147604167j),(-0.1483105421-0.3147604167j)
1.61728e-09,(-0.1485153437-0.3148264587j),(-0.1485153437-0.3148264587j)
1.61792e-09,(-0.1486854106-0.3148465753j),(-0.1486854106-0.3148465753j)
1.61856e-09,(-0.1485640705-0.3150583506j),(-0.1485640705-0.3150583506j)
1.6192e-09,(-0.1487372518-0.3149313629j),(-0.1487372518-0.3149313629j)
1.6198399999999999e-09,(-0.1487921178-0.3151130378j),(-0.1487921178-0.3151130378j)
1.62048e-09,(-0.1488473564-0.3150991797j),(-0.1488473564-0.3150991797j)
1.6211199999999999e-09,(-0.1489246935-0.3152376711j),(-0.1489246935-0.3152376711j)
1.62176e-09,(-0.1488552392-0.3152837753j),(-0.1488552392-0.3152837753j)
1.6224000000000001e-09,(-0.1490799189-0.3151728809j),(-0.1490799189-0.3151728809j)
1.62304e-09,(-0.1489887834-0.3153718412j),(-0.1489887834-0.3153718412j)
1.62368e-09,(-0.1491631418-0.3153860569j),(-0.1491631418-0.3153860569j)
1.62432e-09,(-0.1491196901-0.3152567148j),(-0.1491196901-0.3152567148j)
1.62496e-09,(-0.149402976-0.3154981434j),(-0.149402976-0.3154981434j)
1.6255999999999998e-09,(-0.149290964-0.3154470623j),(-0.149290964-0.3154470623j)
1.62624e-09,(-0.1493391395-0.315305233j),(-0.1493391395-0.315305233j)
1.62688e-09,(-0.1492542177-0.3156133592j),(-0.1492542177-0.3156133592j)
1.62752e-09,(-0.1494462192-0.3154149055j),(-0.1494462192-0.3154149055j)
1.62816e-09,(-0.1495156884-0.3155222535j),(-0.1495156884-0.3155222535j)
1.6288e-09,(-0.1494318992-0.3157001734j),(-0.1494318992-0.3157001734j)
1.62944e-09,(-0.1496695876-0.3155146241j),(-0.1496695876-0.3155146241j)
1.63008e-09,(-0.1496819705-0.3158068061j),(-0.1496819705-0.3158068061j)
1.63072e-09,(-0.1496795863-0.3156787753j),(-0.1496795863-0.3156787753j)
1.6313599999999998e-09,(-0.1499399245-0.3157909513j),(-0.1499399245-0.3157909513j)
1.632e-09,(-0.1498270035-0.3157390356j),(-0.1498270035-0.3157390356j)
1.63264e-09,(-0.1499340683-0.3158919215j),(-0.1499340683-0.3158919215j)
1.63328e-09,(-0.149910748-0.3159564435j),(-0.149910748-0.3159564435j)
1.63392e-09,(-0.1501216888-0.3159155846j),(-0.1501216888-0.3159155846j)
1.63456e-09,(-0.1502895057-0.3158122301j),(-0.1502895057-0.3158122301j)
1.6351999999999999e-09,(-0.1504763663-0.3160093129j),(-0.1504763663-0.3160093129j)
1.63584e-09,(-0.1503184587-0.3160125613j),(-0.1503184587-0.3160125613j)
1.63648e-09,(-0.1505555212-0.3160941303j),(-0.1505555212-0.3160941303j)
1.6371199999999998e-09,(-0.1508158296-0.3162252903j),(-0.1508158296-0.3162252903j)
1.6377600000000001e-09,(-0.150747627-0.3161581457j),(-0.150747627-0.3161581457j)
1.6384e-09,(-0.1507818699-0.3161608875j),(-0.1507818699-0.3161608875j)
1.63904e-09,(-0.1509746909-0.3163339794j),(-0.1509746909-0.3163339794j)
1.63968e-09,(-0.1509496123-0.3163983226j),(-0.1509496123-0.3163983226j)
1.64032e-09,(-0.1512722373-0.3164437115j),(-0.1512722373-0.3164437115j)
1.6409599999999999e-09,(-0.1512846947-0.3164536655j),(-0.1512846947-0.3164536655j)
1.6416e-09,(-0.151435703-0.3165628016j),(-0.151435703-0.3165628016j)
1.64224e-09,(-0.1517501175-0.3166208565j),(-0.1517501175-0.3166208565j)
1.6428799999999998e-09,(-0.1516036242-0.3167150617j),(-0.1516036242-0.3167150617j)
1.6435200000000001e-09,(-0.1517902017-0.316541642j),(-0.1517902017-0.316541642j)
1.64416e-09,(-0.1519963145-0.3167492449j),(-0.1519963145-0.3167492449j)
1.6448e-09,(-0.1522519886-0.3170647621j),(-0.1522519886-0.3170647621j)
1.64544e-09,(-0.1524816751-0.3169931173j),(-0.1524816751-0.3169931173j)
1.64608e-09,(-0.1525790393-0.3169704378j),(-0.1525790393-0.3169704378j)
1.6467199999999999e-09,(-0.1526771039-0.3170460761j),(-0.1526771039-0.3170460761j)
1.64736e-09,(-0.1526664644-0.3171056509j),(-0.1526664644-0.3171056509j)
1.6479999999999999e-09,(-0.1527289152-0.3171878159j),(-0.1527289152-0.3171878159j)
1.64864e-09,(-0.1528832912-0.3174370229j),(-0.1528832912-0.3174370229j)
